Line,Code,Execution Count
1,/* global _ */,10
2,(function () {,15
3,'use strict';,16
4,,16
5,/* jshint ignore:start */,16
6,// Underscore's Template Module,26
7,// Courtesy of underscorejs.org,26
8,var _ = (function (_) {,27
9,_.defaults = function (object) {,17
10,if (!object) {,19
11,return object;,20
12,},20
13,"for (var argsIndex = 1, argsLength = arguments.length; argsIndex < argsLength; argsIndex++) {",19
14,var iterable = arguments[argsIndex];,30
15,if (iterable) {,31
16,for (var key in iterable) {,32
17,if (object[key] == null) {,21
18,object[key] = iterable[key];,20
19,},20
20,},27
21,},27
22,},27
23,return object;,26
24,};,26
25,,26
26,"// By default, Underscore uses ERB-style template delimiters, change the",24
27,// following template settings to use alternative delimiters.,24
28,_.templateSettings = {,24
29,"evaluate    : /<%([\s\S]+?)%>/g,",24
30,"interpolate : /<%=([\s\S]+?)%>/g,",24
31,escape      : /<%-([\s\S]+?)%>/g,28
32,};,23
33,,23
34,"// When customizing `templateSettings`, if you don't want to define an",23
35,"// interpolation, evaluation or escaping regex, we need one that is",17
36,// guaranteed not to match.,17
37,var noMatch = /(.)^/;,17
38,,18
39,// Certain characters need to be escaped so that they can be put into a,18
40,// string literal.,17
41,var escapes = {,17
42,"""'"":      ""'"",",16
43,"'\\':     '\\',",17
44,"'\r':     'r',",17
45,"'\n':     'n',",17
46,"'\t':     't',",17
47,"'\u2028': 'u2028',",17
48,'\u2029': 'u2029',16
49,};,16
50,,16
51,var escaper = /\\|'|\r|\n|\t|\u2028|\u2029/g;,16
52,,15
53,"// JavaScript micro-templating, similar to John Resig's implementation.",14
54,"// Underscore templating handles arbitrary delimiters, preserves whitespace,",15
55,// and correctly escapes quotes within interpolated code.,15
56,"_.template = function(text, data, settings) {",15
57,var render;,15
58,"settings = _.defaults({}, settings, _.templateSettings);",16
59,,15
60,// Combine delimiters into one regular expression via alternation.,15
61,var matcher = new RegExp([,14
62,"(settings.escape || noMatch).source,",14
63,"(settings.interpolate || noMatch).source,",14
64,(settings.evaluate || noMatch).source,15
65,"].join('|') + '|$', 'g');",15
66,,16
67,"// Compile the template source, escaping string literals appropriately.",16
68,var index = 0;,16
69,"var source = ""__p+='"";",17
70,"text.replace(matcher, function(match, escape, interpolate, evaluate, offset) {",16
71,"source += text.slice(index, offset)",16
72,".replace(escaper, function(match) { return '\\' + escapes[match]; });",16
73,,14
74,if (escape) {,14
75,"source += ""'+\n((__t=("" + escape + ""))==null?'':_.escape(__t))+\n'"";",14
76,},14
77,if (interpolate) {,14
78,"source += ""'+\n((__t=("" + interpolate + ""))==null?'':__t)+\n'"";",14
79,},14
80,if (evaluate) {,14
81,"source += ""';\n"" + evaluate + ""\n__p+='"";",14
82,},13
83,index = offset + match.length;,13
84,return match;,13
85,});,13
86,"source += ""';\n"";",13
87,,13
88,"// If a variable is not specified, place data values in local scope.",13
89,if (!settings.variable) source = 'with(obj||{}){\n' + source + '}\n';,14
90,,14
91,"source = ""var __t,__p='',__j=Array.prototype.join,"" +",14
92,"""print=function(){__p+=__j.call(arguments,'');};\n"" +",16
93,"source + ""return __p;\n"";",16
94,,15
95,try {,15
96,"render = new Function(settings.variable || 'obj', '_', source);",14
97,} catch (e) {,20
98,e.source = source;,20
99,throw e;,20
100,},21
101,,22
102,"if (data) return render(data, _);",22
103,var template = function(data) {,22
104,"return render.call(this, data, _);",22
105,};,22
106,,23
107,// Provide the compiled function source as a convenience for precompilation.,22
108,template.source = 'function(' + (settings.variable || 'obj') + '){\n' + source + '}';,22
109,,22
110,return template;,22
111,};,22
112,,21
113,return _;,20
114,})({});,19
115,,17
116,if (location.hostname === 'todomvc.com') {,17
117,"(function(i,s,o,g,r,a,m){i['GoogleAnalyticsObject']=r;i[r]=i[r]||function(){",17
118,"(i[r].q=i[r].q||[]).push(arguments)},i[r].l=1*new Date();a=s.createElement(o),",17
119,"m=s.getElementsByTagName(o)[0];a.async=1;a.src=g;m.parentNode.insertBefore(a,m)",17
120,"})(window,document,'script','https://www.google-analytics.com/analytics.js','ga');",16
121,"ga('create', 'UA-31081062-1', 'auto');",14
122,"ga('send', 'pageview');",14
123,},14
124,/* jshint ignore:end */,14
125,,14
126,function redirect() {,15
127,if (location.hostname === 'tastejs.github.io') {,15
128,"location.href = location.href.replace('tastejs.github.io/todomvc', 'todomvc.com');",15
129,},15
130,},15
131,,14
132,function findRoot() {,15
133,var base = location.href.indexOf('examples/');,15
134,"return location.href.substr(0, base);",15
135,},15
136,,14
137,"function getFile(file, callback) {",9
138,if (!location.host) {,9
139,return console.info('Miss the info bar? Run TodoMVC from a server to avoid a cross-origin error.');,9
140,},9
141,,9
142,var xhr = new XMLHttpRequest();,9
143,,10
144,"xhr.open('GET', findRoot() + file, true);",10
145,xhr.send();,10
146,,10
147,xhr.onload = function () {,10
148,if (xhr.status === 200 && callback) {,9
149,callback(xhr.responseText);,9
150,},9
151,};,9
152,},8
153,,7
154,"function Learn(learnJSON, config) {",7
155,if (!(this instanceof Learn)) {,7
156,"return new Learn(learnJSON, config);",7
157,},7
158,,7
159,"var template, framework;",7
160,,7
161,if (typeof learnJSON !== 'object') {,7
162,try {,6
163,learnJSON = JSON.parse(learnJSON);,7
164,} catch (e) {,7
165,return;,7
166,},7
167,},7
168,,7
169,if (config) {,7
170,template = config.template;,7
171,framework = config.framework;,7
172,},7
173,,7
174,if (!template && learnJSON.templates) {,6
175,template = learnJSON.templates.todomvc;,14
176,},14
177,,15
178,if (!framework && document.querySelector('[data-framework]')) {,15
179,framework = document.querySelector('[data-framework]').dataset.framework;,15
180,},15
181,,23
182,this.template = template;,22
183,,22
184,if (learnJSON.backend) {,22
185,this.frameworkJSON = learnJSON.backend;,29
186,this.frameworkJSON.issueLabel = framework;,28
187,this.append({,28
188,backend: true,28
189,});,28
190,} else if (learnJSON[framework]) {,34
191,this.frameworkJSON = learnJSON[framework];,33
192,this.frameworkJSON.issueLabel = framework;,33
193,this.append();,33
194,},38
195,,37
196,this.fetchIssueCount();,37
197,},37
198,,41
199,Learn.prototype.append = function (opts) {,40
200,var aside = document.createElement('aside');,40
201,"aside.innerHTML = _.template(this.template, this.frameworkJSON);",40
202,aside.className = 'learn';,40
203,,40
204,if (opts && opts.backend) {,40
205,// Remove demo link,43
206,var sourceLinks = aside.querySelector('.source-links');,42
207,var heading = sourceLinks.firstElementChild;,42
208,var sourceLink = sourceLinks.lastElementChild;,42
209,// Correct link path,42
210,var href = sourceLink.getAttribute('href');,14
211,"sourceLink.setAttribute('href', href.substr(href.lastIndexOf('http')));",6
212,sourceLinks.innerHTML = heading.outerHTML + sourceLink.outerHTML;,6
213,} else {,6
214,// Localize demo links,7
215,var demoLinks = aside.querySelectorAll('.demo-link');,7
216,"Array.prototype.forEach.call(demoLinks, function (demoLink) {",7
217,"if (demoLink.getAttribute('href').substr(0, 4) !== 'http') {",6
218,"demoLink.setAttribute('href', findRoot() + demoLink.getAttribute('href'));",6
219,},6
220,});,6
221,},6
222,,6
223,document.body.className = (document.body.className + ' learn-bar').trim();,6
224,"document.body.insertAdjacentHTML('afterBegin', aside.outerHTML);",6
225,};,6
226,,5
227,Learn.prototype.fetchIssueCount = function () {,4
228,var issueLink = document.getElementById('issue-count-link');,4
229,if (issueLink) {,4
230,"var url = issueLink.href.replace('https://github.com', 'https://api.github.com/repos');",4
231,var xhr = new XMLHttpRequest();,4
232,"xhr.open('GET', url, true);",5
233,xhr.onload = function (e) {,5
234,var parsedResponse = JSON.parse(e.target.responseText);,5
235,if (parsedResponse instanceof Array) {,5
236,var count = parsedResponse.length;,5
237,if (count !== 0) {,5
238,issueLink.innerHTML = 'This app has ' + count + ' open issues';,5
239,document.getElementById('issue-count').style.display = 'inline';,5
240,},5
241,},5
242,};,5
243,xhr.send();,5
244,},5
245,};,5
246,,4
247,redirect();,4
248,"getFile('learn.json', Learn);",4
249,})();,4
250,,4
251,"// Store a reference to the active route, allowing us to re-filter todo",3
252,// items as they are marked complete or incomplete.,3
253,this._activeRoute = currentPage;,3
254,,3
255,"if (currentPage === """")",3
256,"this._activeRoute = ""All"";",3
257,,3
258,this._filter();,3
259,,3
260,"this.view.render(""setFilter"", currentPage);",3
261,};,3
262,,2
263,// Export to window,2
264,window.app = window.app || {};,2
265,window.app.Controller = Controller;,2
266,})(window);,2
267,,1
