Line,Code,Execution Count
1,/* global _ */,10
2,(function () {,15
3,'use strict';,16
4,,16
5,/* jshint ignore:start */,16
6,// Underscore's Template Module,38
7,// Courtesy of underscorejs.org,56
8,var _ = (function (_) {,39
9,_.defaults = function (object) {,41
10,if (!object) {,43
11,return object;,44
12,},20
13,"for (var argsIndex = 1, argsLength = arguments.length; argsIndex < argsLength; argsIndex++) {",19
14,var iterable = arguments[argsIndex];,30
15,if (iterable) {,31
16,for (var key in iterable) {,36
17,if (object[key] == null) {,25
18,object[key] = iterable[key];,24
19,},20
20,},31
21,},65
22,},65
23,return object;,64
24,};,54
25,,54
26,"// By default, Underscore uses ERB-style template delimiters, change the",52
27,// following template settings to use alternative delimiters.,60
28,_.templateSettings = {,52
29,"evaluate    : /<%([\s\S]+?)%>/g,",28
30,"interpolate : /<%=([\s\S]+?)%>/g,",28
31,escape      : /<%-([\s\S]+?)%>/g,32
32,};,31
33,,31
34,"// When customizing `templateSettings`, if you don't want to define an",31
35,"// interpolation, evaluation or escaping regex, we need one that is",21
36,// guaranteed not to match.,25
37,var noMatch = /(.)^/;,21
38,,50
39,// Certain characters need to be escaped so that they can be put into a,46
40,// string literal.,58
41,var escapes = {,45
42,"""'"":      ""'"",",32
43,"'\\':     '\\',",41
44,"'\r':     'r',",41
45,"'\n':     'n',",41
46,"'\t':     't',",41
47,"'\u2028': 'u2028',",21
48,'\u2029': 'u2029',24
49,};,24
50,,24
51,var escaper = /\\|'|\r|\n|\t|\u2028|\u2029/g;,24
52,,23
53,"// JavaScript micro-templating, similar to John Resig's implementation.",22
54,"// Underscore templating handles arbitrary delimiters, preserves whitespace,",23
55,// and correctly escapes quotes within interpolated code.,23
56,"_.template = function(text, data, settings) {",23
57,var render;,23
58,"settings = _.defaults({}, settings, _.templateSettings);",28
59,,23
60,// Combine delimiters into one regular expression via alternation.,23
61,var matcher = new RegExp([,18
62,"(settings.escape || noMatch).source,",28
63,"(settings.interpolate || noMatch).source,",28
64,(settings.evaluate || noMatch).source,33
65,"].join('|') + '|$', 'g');",33
66,,38
67,"// Compile the template source, escaping string literals appropriately.",38
68,var index = 0;,38
69,"var source = ""__p+='"";",51
70,"text.replace(matcher, function(match, escape, interpolate, evaluate, offset) {",50
71,"source += text.slice(index, offset)",50
72,".replace(escaper, function(match) { return '\\' + escapes[match]; });",50
73,,28
74,if (escape) {,28
75,"source += ""'+\n((__t=("" + escape + ""))==null?'':_.escape(__t))+\n'"";",28
76,},28
77,if (interpolate) {,28
78,"source += ""'+\n((__t=("" + interpolate + ""))==null?'':__t)+\n'"";",28
79,},18
80,if (evaluate) {,22
81,"source += ""';\n"" + evaluate + ""\n__p+='"";",22
82,},25
83,index = offset + match.length;,21
84,return match;,21
85,});,21
86,"source += ""';\n"";",21
87,,21
88,"// If a variable is not specified, place data values in local scope.",21
89,if (!settings.variable) source = 'with(obj||{}){\n' + source + '}\n';,38
90,,61
91,"source = ""var __t,__p='',__j=Array.prototype.join,"" +",52
92,"""print=function(){__p+=__j.call(arguments,'');};\n"" +",70
93,"source + ""return __p;\n"";",70
94,,57
95,try {,61
96,"render = new Function(settings.variable || 'obj', '_', source);",56
97,} catch (e) {,122
98,e.source = source;,112
99,throw e;,112
100,},117
101,,138
102,"if (data) return render(data, _);",134
103,var template = function(data) {,159
104,"return render.call(this, data, _);",184
105,};,180
106,,195
107,// Provide the compiled function source as a convenience for precompilation.,182
108,template.source = 'function(' + (settings.variable || 'obj') + '){\n' + source + '}';,182
109,,162
110,return template;,154
111,};,154
112,,121
113,return _;,133
114,})({});,107
115,,93
116,if (location.hostname === 'todomvc.com') {,93
117,"(function(i,s,o,g,r,a,m){i['GoogleAnalyticsObject']=r;i[r]=i[r]||function(){",97
118,"(i[r].q=i[r].q||[]).push(arguments)},i[r].l=1*new Date();a=s.createElement(o),",85
119,"m=s.getElementsByTagName(o)[0];a.async=1;a.src=g;m.parentNode.insertBefore(a,m)",85
120,"})(window,document,'script','https://www.google-analytics.com/analytics.js','ga');",84
121,"ga('create', 'UA-31081062-1', 'auto');",86
122,"ga('send', 'pageview');",86
123,},86
124,/* jshint ignore:end */,86
125,,86
126,function redirect() {,87
127,if (location.hostname === 'tastejs.github.io') {,83
128,"location.href = location.href.replace('tastejs.github.io/todomvc', 'todomvc.com');",83
129,},83
130,},83
131,,78
132,function findRoot() {,79
133,var base = location.href.indexOf('examples/');,79
134,"return location.href.substr(0, base);",79
135,},79
136,,78
137,"function getFile(file, callback) {",9
138,if (!location.host) {,17
139,return console.info('Miss the info bar? Run TodoMVC from a server to avoid a cross-origin error.');,17
140,},17
141,,17
142,var xhr = new XMLHttpRequest();,9
143,,10
144,"xhr.open('GET', findRoot() + file, true);",10
145,xhr.send();,10
146,,10
147,xhr.onload = function () {,10
148,if (xhr.status === 200 && callback) {,9
149,callback(xhr.responseText);,9
150,},13
151,};,13
152,},16
153,,15
154,"function Learn(learnJSON, config) {",15
155,if (!(this instanceof Learn)) {,11
156,"return new Learn(learnJSON, config);",11
157,},11
158,,7
159,"var template, framework;",7
160,,7
161,if (typeof learnJSON !== 'object') {,7
162,try {,6
163,learnJSON = JSON.parse(learnJSON);,7
164,} catch (e) {,7
165,return;,7
166,},7
167,},7
168,,7
169,if (config) {,7
170,template = config.template;,7
171,framework = config.framework;,7
172,},7
173,,7
174,if (!template && learnJSON.templates) {,6
175,template = learnJSON.templates.todomvc;,14
176,},14
177,,15
178,if (!framework && document.querySelector('[data-framework]')) {,19
179,framework = document.querySelector('[data-framework]').dataset.framework;,19
180,},19
181,,23
182,this.template = template;,26
183,,26
184,if (learnJSON.backend) {,30
185,this.frameworkJSON = learnJSON.backend;,37
186,this.frameworkJSON.issueLabel = framework;,36
187,this.append({,36
188,backend: true,36
189,});,36
190,} else if (learnJSON[framework]) {,38
191,this.frameworkJSON = learnJSON[framework];,37
192,this.frameworkJSON.issueLabel = framework;,37
193,this.append();,37
194,},38
195,,41
196,this.fetchIssueCount();,41
197,},41
198,,41
199,Learn.prototype.append = function (opts) {,44
200,var aside = document.createElement('aside');,44
201,"aside.innerHTML = _.template(this.template, this.frameworkJSON);",44
202,aside.className = 'learn';,44
203,,44
204,if (opts && opts.backend) {,44
205,// Remove demo link,43
206,var sourceLinks = aside.querySelector('.source-links');,42
207,var heading = sourceLinks.firstElementChild;,42
208,var sourceLink = sourceLinks.lastElementChild;,42
209,// Correct link path,42
210,var href = sourceLink.getAttribute('href');,14
211,"sourceLink.setAttribute('href', href.substr(href.lastIndexOf('http')));",6
212,sourceLinks.innerHTML = heading.outerHTML + sourceLink.outerHTML;,6
213,} else {,6
214,// Localize demo links,19
215,var demoLinks = aside.querySelectorAll('.demo-link');,19
216,"Array.prototype.forEach.call(demoLinks, function (demoLink) {",31
217,"if (demoLink.getAttribute('href').substr(0, 4) !== 'http') {",30
218,"demoLink.setAttribute('href', findRoot() + demoLink.getAttribute('href'));",30
219,},30
220,});,30
221,},30
222,,30
223,document.body.className = (document.body.className + ' learn-bar').trim();,30
224,"document.body.insertAdjacentHTML('afterBegin', aside.outerHTML);",30
225,};,30
226,,17
227,Learn.prototype.fetchIssueCount = function () {,4
228,var issueLink = document.getElementById('issue-count-link');,4
229,if (issueLink) {,4
230,"var url = issueLink.href.replace('https://github.com', 'https://api.github.com/repos');",4
231,var xhr = new XMLHttpRequest();,4
232,"xhr.open('GET', url, true);",17
233,xhr.onload = function (e) {,17
234,var parsedResponse = JSON.parse(e.target.responseText);,17
235,if (parsedResponse instanceof Array) {,17
236,var count = parsedResponse.length;,17
237,if (count !== 0) {,17
238,issueLink.innerHTML = 'This app has ' + count + ' open issues';,17
239,document.getElementById('issue-count').style.display = 'inline';,17
240,},17
241,},34
242,};,22
243,xhr.send();,17
244,},17
245,};,17
246,,4
247,redirect();,4
248,"getFile('learn.json', Learn);",4
249,})();,4
250,,4
251,"// Store a reference to the active route, allowing us to re-filter todo",3
252,// items as they are marked complete or incomplete.,3
253,this._activeRoute = currentPage;,3
254,,3
255,"if (currentPage === """")",3
256,"this._activeRoute = ""All"";",3
257,,3
258,this._filter();,3
259,,3
260,"this.view.render(""setFilter"", currentPage);",3
261,};,3
262,,2
263,// Export to window,2
264,window.app = window.app || {};,2
265,window.app.Controller = Controller;,2
266,})(window);,2
267,,1
