Line,Code,Execution Count
1,/* global _ */,10
2,(function () {,15
3,'use strict';,16
4,,16
5,/* jshint ignore:start */,16
6,// Underscore's Template Module,36
7,// Courtesy of underscorejs.org,52
8,var _ = (function (_) {,37
9,_.defaults = function (object) {,29
10,if (!object) {,31
11,return object;,32
12,},20
13,"for (var argsIndex = 1, argsLength = arguments.length; argsIndex < argsLength; argsIndex++) {",19
14,var iterable = arguments[argsIndex];,30
15,if (iterable) {,31
16,for (var key in iterable) {,36
17,if (object[key] == null) {,25
18,object[key] = iterable[key];,24
19,},20
20,},32
21,},58
22,},58
23,return object;,56
24,};,42
25,,42
26,"// By default, Underscore uses ERB-style template delimiters, change the",40
27,// following template settings to use alternative delimiters.,44
28,_.templateSettings = {,40
29,"evaluate    : /<%([\s\S]+?)%>/g,",28
30,"interpolate : /<%=([\s\S]+?)%>/g,",28
31,escape      : /<%-([\s\S]+?)%>/g,28
32,};,23
33,,23
34,"// When customizing `templateSettings`, if you don't want to define an",23
35,"// interpolation, evaluation or escaping regex, we need one that is",17
36,// guaranteed not to match.,21
37,var noMatch = /(.)^/;,21
38,,39
39,// Certain characters need to be escaped so that they can be put into a,35
40,// string literal.,44
41,var escapes = {,34
42,"""'"":      ""'"",",24
43,"'\\':     '\\',",30
44,"'\r':     'r',",30
45,"'\n':     'n',",31
46,"'\t':     't',",31
47,"'\u2028': 'u2028',",23
48,'\u2029': 'u2029',26
49,};,31
50,,26
51,var escaper = /\\|'|\r|\n|\t|\u2028|\u2029/g;,31
52,,30
53,"// JavaScript micro-templating, similar to John Resig's implementation.",33
54,"// Underscore templating handles arbitrary delimiters, preserves whitespace,",36
55,// and correctly escapes quotes within interpolated code.,31
56,"_.template = function(text, data, settings) {",32
57,var render;,31
58,"settings = _.defaults({}, settings, _.templateSettings);",37
59,,31
60,// Combine delimiters into one regular expression via alternation.,30
61,var matcher = new RegExp([,20
62,"(settings.escape || noMatch).source,",34
63,"(settings.interpolate || noMatch).source,",33
64,(settings.evaluate || noMatch).source,38
65,"].join('|') + '|$', 'g');",38
66,,43
67,"// Compile the template source, escaping string literals appropriately.",47
68,var index = 0;,47
69,"var source = ""__p+='"";",57
70,"text.replace(matcher, function(match, escape, interpolate, evaluate, offset) {",56
71,"source += text.slice(index, offset)",52
72,".replace(escaper, function(match) { return '\\' + escapes[match]; });",52
73,,33
74,if (escape) {,33
75,"source += ""'+\n((__t=("" + escape + ""))==null?'':_.escape(__t))+\n'"";",33
76,},33
77,if (interpolate) {,33
78,"source += ""'+\n((__t=("" + interpolate + ""))==null?'':__t)+\n'"";",33
79,},19
80,if (evaluate) {,19
81,"source += ""';\n"" + evaluate + ""\n__p+='"";",19
82,},21
83,index = offset + match.length;,21
84,return match;,22
85,});,22
86,"source += ""';\n"";",23
87,,23
88,"// If a variable is not specified, place data values in local scope.",23
89,if (!settings.variable) source = 'with(obj||{}){\n' + source + '}\n';,36
90,,55
91,"source = ""var __t,__p='',__j=Array.prototype.join,"" +",49
92,"""print=function(){__p+=__j.call(arguments,'');};\n"" +",65
93,"source + ""return __p;\n"";",65
94,,55
95,try {,59
96,"render = new Function(settings.variable || 'obj', '_', source);",53
97,} catch (e) {,105
98,e.source = source;,95
99,throw e;,95
100,},101
101,,119
102,"if (data) return render(data, _);",115
103,var template = function(data) {,124
104,"return render.call(this, data, _);",154
105,};,150
106,,181
107,// Provide the compiled function source as a convenience for precompilation.,157
108,template.source = 'function(' + (settings.variable || 'obj') + '){\n' + source + '}';,157
109,,137
110,return template;,129
111,};,129
112,,98
113,return _;,107
114,})({});,87
115,,76
116,if (location.hostname === 'todomvc.com') {,76
117,"(function(i,s,o,g,r,a,m){i['GoogleAnalyticsObject']=r;i[r]=i[r]||function(){",76
118,"(i[r].q=i[r].q||[]).push(arguments)},i[r].l=1*new Date();a=s.createElement(o),",68
119,"m=s.getElementsByTagName(o)[0];a.async=1;a.src=g;m.parentNode.insertBefore(a,m)",68
120,"})(window,document,'script','https://www.google-analytics.com/analytics.js','ga');",67
121,"ga('create', 'UA-31081062-1', 'auto');",68
122,"ga('send', 'pageview');",68
123,},68
124,/* jshint ignore:end */,68
125,,68
126,function redirect() {,69
127,if (location.hostname === 'tastejs.github.io') {,65
128,"location.href = location.href.replace('tastejs.github.io/todomvc', 'todomvc.com');",65
129,},65
130,},65
131,,64
132,function findRoot() {,65
133,var base = location.href.indexOf('examples/');,65
134,"return location.href.substr(0, base);",65
135,},65
136,,64
137,"function getFile(file, callback) {",9
138,if (!location.host) {,13
139,return console.info('Miss the info bar? Run TodoMVC from a server to avoid a cross-origin error.');,13
140,},13
141,,13
142,var xhr = new XMLHttpRequest();,9
143,,10
144,"xhr.open('GET', findRoot() + file, true);",10
145,xhr.send();,10
146,,10
147,xhr.onload = function () {,10
148,if (xhr.status === 200 && callback) {,9
149,callback(xhr.responseText);,9
150,},9
151,};,9
152,},8
153,,7
154,"function Learn(learnJSON, config) {",7
155,if (!(this instanceof Learn)) {,7
156,"return new Learn(learnJSON, config);",7
157,},7
158,,7
159,"var template, framework;",7
160,,7
161,if (typeof learnJSON !== 'object') {,7
162,try {,6
163,learnJSON = JSON.parse(learnJSON);,7
164,} catch (e) {,7
165,return;,7
166,},7
167,},7
168,,7
169,if (config) {,7
170,template = config.template;,7
171,framework = config.framework;,7
172,},7
173,,7
174,if (!template && learnJSON.templates) {,6
175,template = learnJSON.templates.todomvc;,14
176,},14
177,,15
178,if (!framework && document.querySelector('[data-framework]')) {,19
179,framework = document.querySelector('[data-framework]').dataset.framework;,19
180,},19
181,,23
182,this.template = template;,26
183,,26
184,if (learnJSON.backend) {,30
185,this.frameworkJSON = learnJSON.backend;,37
186,this.frameworkJSON.issueLabel = framework;,36
187,this.append({,36
188,backend: true,36
189,});,36
190,} else if (learnJSON[framework]) {,38
191,this.frameworkJSON = learnJSON[framework];,37
192,this.frameworkJSON.issueLabel = framework;,37
193,this.append();,37
194,},38
195,,37
196,this.fetchIssueCount();,37
197,},37
198,,41
199,Learn.prototype.append = function (opts) {,44
200,var aside = document.createElement('aside');,44
201,"aside.innerHTML = _.template(this.template, this.frameworkJSON);",44
202,aside.className = 'learn';,44
203,,44
204,if (opts && opts.backend) {,44
205,// Remove demo link,43
206,var sourceLinks = aside.querySelector('.source-links');,42
207,var heading = sourceLinks.firstElementChild;,42
208,var sourceLink = sourceLinks.lastElementChild;,42
209,// Correct link path,42
210,var href = sourceLink.getAttribute('href');,14
211,"sourceLink.setAttribute('href', href.substr(href.lastIndexOf('http')));",6
212,sourceLinks.innerHTML = heading.outerHTML + sourceLink.outerHTML;,6
213,} else {,6
214,// Localize demo links,16
215,var demoLinks = aside.querySelectorAll('.demo-link');,16
216,"Array.prototype.forEach.call(demoLinks, function (demoLink) {",25
217,"if (demoLink.getAttribute('href').substr(0, 4) !== 'http') {",24
218,"demoLink.setAttribute('href', findRoot() + demoLink.getAttribute('href'));",24
219,},24
220,});,24
221,},24
222,,24
223,document.body.className = (document.body.className + ' learn-bar').trim();,24
224,"document.body.insertAdjacentHTML('afterBegin', aside.outerHTML);",24
225,};,24
226,,14
227,Learn.prototype.fetchIssueCount = function () {,4
228,var issueLink = document.getElementById('issue-count-link');,4
229,if (issueLink) {,4
230,"var url = issueLink.href.replace('https://github.com', 'https://api.github.com/repos');",4
231,var xhr = new XMLHttpRequest();,4
232,"xhr.open('GET', url, true);",14
233,xhr.onload = function (e) {,14
234,var parsedResponse = JSON.parse(e.target.responseText);,14
235,if (parsedResponse instanceof Array) {,14
236,var count = parsedResponse.length;,14
237,if (count !== 0) {,14
238,issueLink.innerHTML = 'This app has ' + count + ' open issues';,14
239,document.getElementById('issue-count').style.display = 'inline';,14
240,},14
241,},25
242,};,20
243,xhr.send();,14
244,},14
245,};,14
246,,4
247,redirect();,4
248,"getFile('learn.json', Learn);",4
249,})();,4
250,,5
251,"// Store a reference to the active route, allowing us to re-filter todo",4
252,// items as they are marked complete or incomplete.,4
253,this._activeRoute = currentPage;,4
254,,4
255,"if (currentPage === """")",4
256,"this._activeRoute = ""All"";",5
257,,4
258,this._filter();,4
259,,4
260,"this.view.render(""setFilter"", currentPage);",4
261,};,4
262,,2
263,// Export to window,2
264,window.app = window.app || {};,2
265,window.app.Controller = Controller;,2
266,})(window);,2
267,,1
