Line,Code,Execution Count
1,/* global _ */,10
2,(function () {,15
3,'use strict';,16
4,,16
5,/* jshint ignore:start */,16
6,// Underscore's Template Module,41
7,// Courtesy of underscorejs.org,61
8,var _ = (function (_) {,42
9,_.defaults = function (object) {,57
10,if (!object) {,59
11,return object;,60
12,},20
13,"for (var argsIndex = 1, argsLength = arguments.length; argsIndex < argsLength; argsIndex++) {",19
14,var iterable = arguments[argsIndex];,30
15,if (iterable) {,31
16,for (var key in iterable) {,37
17,if (object[key] == null) {,26
18,object[key] = iterable[key];,25
19,},20
20,},37
21,},87
22,},87
23,return object;,81
24,};,71
25,,71
26,"// By default, Underscore uses ERB-style template delimiters, change the",69
27,// following template settings to use alternative delimiters.,79
28,_.templateSettings = {,64
29,"evaluate    : /<%([\s\S]+?)%>/g,",29
30,"interpolate : /<%=([\s\S]+?)%>/g,",29
31,escape      : /<%-([\s\S]+?)%>/g,28
32,};,23
33,,23
34,"// When customizing `templateSettings`, if you don't want to define an",23
35,"// interpolation, evaluation or escaping regex, we need one that is",17
36,// guaranteed not to match.,17
37,var noMatch = /(.)^/;,17
38,,38
39,// Certain characters need to be escaped so that they can be put into a,38
40,// string literal.,37
41,var escapes = {,37
42,"""'"":      ""'"",",31
43,"'\\':     '\\',",47
44,"'\r':     'r',",37
45,"'\n':     'n',",42
46,"'\t':     't',",42
47,"'\u2028': 'u2028',",32
48,'\u2029': 'u2029',31
49,};,37
50,,31
51,var escaper = /\\|'|\r|\n|\t|\u2028|\u2029/g;,37
52,,36
53,"// JavaScript micro-templating, similar to John Resig's implementation.",60
54,"// Underscore templating handles arbitrary delimiters, preserves whitespace,",66
55,// and correctly escapes quotes within interpolated code.,60
56,"_.template = function(text, data, settings) {",80
57,var render;,65
58,"settings = _.defaults({}, settings, _.templateSettings);",71
59,,70
60,// Combine delimiters into one regular expression via alternation.,70
61,var matcher = new RegExp([,29
62,"(settings.escape || noMatch).source,",44
63,"(settings.interpolate || noMatch).source,",39
64,(settings.evaluate || noMatch).source,45
65,"].join('|') + '|$', 'g');",45
66,,51
67,"// Compile the template source, escaping string literals appropriately.",51
68,var index = 0;,51
69,"var source = ""__p+='"";",57
70,"text.replace(matcher, function(match, escape, interpolate, evaluate, offset) {",56
71,"source += text.slice(index, offset)",56
72,".replace(escaper, function(match) { return '\\' + escapes[match]; });",56
73,,39
74,if (escape) {,39
75,"source += ""'+\n((__t=("" + escape + ""))==null?'':_.escape(__t))+\n'"";",34
76,},39
77,if (interpolate) {,39
78,"source += ""'+\n((__t=("" + interpolate + ""))==null?'':__t)+\n'"";",39
79,},24
80,if (evaluate) {,24
81,"source += ""';\n"" + evaluate + ""\n__p+='"";",24
82,},28
83,index = offset + match.length;,28
84,return match;,28
85,});,28
86,"source += ""';\n"";",28
87,,33
88,"// If a variable is not specified, place data values in local scope.",33
89,if (!settings.variable) source = 'with(obj||{}){\n' + source + '}\n';,44
90,,60
91,"source = ""var __t,__p='',__j=Array.prototype.join,"" +",54
92,"""print=function(){__p+=__j.call(arguments,'');};\n"" +",66
93,"source + ""return __p;\n"";",66
94,,60
95,try {,65
96,"render = new Function(settings.variable || 'obj', '_', source);",59
97,} catch (e) {,100
98,e.source = source;,85
99,throw e;,85
100,},91
101,,107
102,"if (data) return render(data, _);",102
103,var template = function(data) {,102
104,"return render.call(this, data, _);",117
105,};,112
106,,113
107,// Provide the compiled function source as a convenience for precompilation.,107
108,template.source = 'function(' + (settings.variable || 'obj') + '){\n' + source + '}';,107
109,,102
110,return template;,97
111,};,97
112,,86
113,return _;,91
114,})({});,79
115,,67
116,if (location.hostname === 'todomvc.com') {,62
117,"(function(i,s,o,g,r,a,m){i['GoogleAnalyticsObject']=r;i[r]=i[r]||function(){",62
118,"(i[r].q=i[r].q||[]).push(arguments)},i[r].l=1*new Date();a=s.createElement(o),",57
119,"m=s.getElementsByTagName(o)[0];a.async=1;a.src=g;m.parentNode.insertBefore(a,m)",57
120,"})(window,document,'script','https://www.google-analytics.com/analytics.js','ga');",61
121,"ga('create', 'UA-31081062-1', 'auto');",64
122,"ga('send', 'pageview');",64
123,},64
124,/* jshint ignore:end */,59
125,,64
126,function redirect() {,65
127,if (location.hostname === 'tastejs.github.io') {,70
128,"location.href = location.href.replace('tastejs.github.io/todomvc', 'todomvc.com');",65
129,},65
130,},65
131,,64
132,function findRoot() {,60
133,var base = location.href.indexOf('examples/');,55
134,"return location.href.substr(0, base);",55
135,},55
136,,54
137,"function getFile(file, callback) {",9
138,if (!location.host) {,19
139,return console.info('Miss the info bar? Run TodoMVC from a server to avoid a cross-origin error.');,19
140,},19
141,,19
142,var xhr = new XMLHttpRequest();,9
143,,10
144,"xhr.open('GET', findRoot() + file, true);",10
145,xhr.send();,15
146,,15
147,xhr.onload = function () {,15
148,if (xhr.status === 200 && callback) {,14
149,callback(xhr.responseText);,14
150,},14
151,};,14
152,},13
153,,7
154,"function Learn(learnJSON, config) {",12
155,if (!(this instanceof Learn)) {,12
156,"return new Learn(learnJSON, config);",12
157,},12
158,,12
159,"var template, framework;",12
160,,12
161,if (typeof learnJSON !== 'object') {,7
162,try {,6
163,learnJSON = JSON.parse(learnJSON);,7
164,} catch (e) {,7
165,return;,7
166,},7
167,},7
168,,7
169,if (config) {,7
170,template = config.template;,7
171,framework = config.framework;,7
172,},7
173,,7
174,if (!template && learnJSON.templates) {,6
175,template = learnJSON.templates.todomvc;,14
176,},14
177,,15
178,if (!framework && document.querySelector('[data-framework]')) {,20
179,framework = document.querySelector('[data-framework]').dataset.framework;,20
180,},20
181,,23
182,this.template = template;,22
183,,22
184,if (learnJSON.backend) {,22
185,this.frameworkJSON = learnJSON.backend;,29
186,this.frameworkJSON.issueLabel = framework;,28
187,this.append({,28
188,backend: true,28
189,});,28
190,} else if (learnJSON[framework]) {,34
191,this.frameworkJSON = learnJSON[framework];,38
192,this.frameworkJSON.issueLabel = framework;,38
193,this.append();,38
194,},38
195,,37
196,this.fetchIssueCount();,37
197,},37
198,,41
199,Learn.prototype.append = function (opts) {,40
200,var aside = document.createElement('aside');,40
201,"aside.innerHTML = _.template(this.template, this.frameworkJSON);",40
202,aside.className = 'learn';,40
203,,40
204,if (opts && opts.backend) {,40
205,// Remove demo link,43
206,var sourceLinks = aside.querySelector('.source-links');,42
207,var heading = sourceLinks.firstElementChild;,42
208,var sourceLink = sourceLinks.lastElementChild;,42
209,// Correct link path,42
210,var href = sourceLink.getAttribute('href');,14
211,"sourceLink.setAttribute('href', href.substr(href.lastIndexOf('http')));",6
212,sourceLinks.innerHTML = heading.outerHTML + sourceLink.outerHTML;,6
213,} else {,6
214,// Localize demo links,12
215,var demoLinks = aside.querySelectorAll('.demo-link');,12
216,"Array.prototype.forEach.call(demoLinks, function (demoLink) {",17
217,"if (demoLink.getAttribute('href').substr(0, 4) !== 'http') {",16
218,"demoLink.setAttribute('href', findRoot() + demoLink.getAttribute('href'));",16
219,},16
220,});,16
221,},16
222,,16
223,document.body.className = (document.body.className + ' learn-bar').trim();,16
224,"document.body.insertAdjacentHTML('afterBegin', aside.outerHTML);",16
225,};,16
226,,10
227,Learn.prototype.fetchIssueCount = function () {,4
228,var issueLink = document.getElementById('issue-count-link');,4
229,if (issueLink) {,4
230,"var url = issueLink.href.replace('https://github.com', 'https://api.github.com/repos');",4
231,var xhr = new XMLHttpRequest();,4
232,"xhr.open('GET', url, true);",10
233,xhr.onload = function (e) {,10
234,var parsedResponse = JSON.parse(e.target.responseText);,10
235,if (parsedResponse instanceof Array) {,10
236,var count = parsedResponse.length;,10
237,if (count !== 0) {,10
238,issueLink.innerHTML = 'This app has ' + count + ' open issues';,10
239,document.getElementById('issue-count').style.display = 'inline';,10
240,},10
241,},11
242,};,10
243,xhr.send();,10
244,},10
245,};,10
246,,4
247,redirect();,4
248,"getFile('learn.json', Learn);",4
249,})();,4
250,,4
251,"// Store a reference to the active route, allowing us to re-filter todo",3
252,// items as they are marked complete or incomplete.,3
253,this._activeRoute = currentPage;,3
254,,3
255,"if (currentPage === """")",3
256,"this._activeRoute = ""All"";",3
257,,3
258,this._filter();,3
259,,3
260,"this.view.render(""setFilter"", currentPage);",3
261,};,3
262,,2
263,// Export to window,2
264,window.app = window.app || {};,2
265,window.app.Controller = Controller;,2
266,})(window);,2
267,,1
