Line,Code,Execution Count
1,/* global _ */,10
2,(function () {,15
3,'use strict';,16
4,,16
5,/* jshint ignore:start */,16
6,// Underscore's Template Module,35
7,// Courtesy of underscorejs.org,51
8,var _ = (function (_) {,36
9,_.defaults = function (object) {,26
10,if (!object) {,28
11,return object;,29
12,},20
13,"for (var argsIndex = 1, argsLength = arguments.length; argsIndex < argsLength; argsIndex++) {",19
14,var iterable = arguments[argsIndex];,30
15,if (iterable) {,31
16,for (var key in iterable) {,35
17,if (object[key] == null) {,24
18,object[key] = iterable[key];,23
19,},20
20,},30
21,},45
22,},45
23,return object;,44
24,};,38
25,,38
26,"// By default, Underscore uses ERB-style template delimiters, change the",36
27,// following template settings to use alternative delimiters.,39
28,_.templateSettings = {,36
29,"evaluate    : /<%([\s\S]+?)%>/g,",27
30,"interpolate : /<%=([\s\S]+?)%>/g,",27
31,escape      : /<%-([\s\S]+?)%>/g,31
32,};,26
33,,26
34,"// When customizing `templateSettings`, if you don't want to define an",26
35,"// interpolation, evaluation or escaping regex, we need one that is",20
36,// guaranteed not to match.,23
37,var noMatch = /(.)^/;,20
38,,37
39,// Certain characters need to be escaped so that they can be put into a,34
40,// string literal.,45
41,var escapes = {,34
42,"""'"":      ""'"",",23
43,"'\\':     '\\',",26
44,"'\r':     'r',",26
45,"'\n':     'n',",27
46,"'\t':     't',",27
47,"'\u2028': 'u2028',",22
48,'\u2029': 'u2029',24
49,};,28
50,,24
51,var escaper = /\\|'|\r|\n|\t|\u2028|\u2029/g;,28
52,,27
53,"// JavaScript micro-templating, similar to John Resig's implementation.",29
54,"// Underscore templating handles arbitrary delimiters, preserves whitespace,",31
55,// and correctly escapes quotes within interpolated code.,27
56,"_.template = function(text, data, settings) {",27
57,var render;,27
58,"settings = _.defaults({}, settings, _.templateSettings);",31
59,,27
60,// Combine delimiters into one regular expression via alternation.,26
61,var matcher = new RegExp([,18
62,"(settings.escape || noMatch).source,",24
63,"(settings.interpolate || noMatch).source,",23
64,(settings.evaluate || noMatch).source,27
65,"].join('|') + '|$', 'g');",27
66,,31
67,"// Compile the template source, escaping string literals appropriately.",31
68,var index = 0;,31
69,"var source = ""__p+='"";",42
70,"text.replace(matcher, function(match, escape, interpolate, evaluate, offset) {",41
71,"source += text.slice(index, offset)",41
72,".replace(escaper, function(match) { return '\\' + escapes[match]; });",41
73,,23
74,if (escape) {,23
75,"source += ""'+\n((__t=("" + escape + ""))==null?'':_.escape(__t))+\n'"";",23
76,},23
77,if (interpolate) {,23
78,"source += ""'+\n((__t=("" + interpolate + ""))==null?'':__t)+\n'"";",23
79,},17
80,if (evaluate) {,20
81,"source += ""';\n"" + evaluate + ""\n__p+='"";",20
82,},22
83,index = offset + match.length;,19
84,return match;,19
85,});,19
86,"source += ""';\n"";",19
87,,19
88,"// If a variable is not specified, place data values in local scope.",19
89,if (!settings.variable) source = 'with(obj||{}){\n' + source + '}\n';,33
90,,50
91,"source = ""var __t,__p='',__j=Array.prototype.join,"" +",42
92,"""print=function(){__p+=__j.call(arguments,'');};\n"" +",57
93,"source + ""return __p;\n"";",57
94,,46
95,try {,49
96,"render = new Function(settings.variable || 'obj', '_', source);",45
97,} catch (e) {,100
98,e.source = source;,94
99,throw e;,94
100,},98
101,,115
102,"if (data) return render(data, _);",112
103,var template = function(data) {,133
104,"return render.call(this, data, _);",146
105,};,143
106,,151
107,// Provide the compiled function source as a convenience for precompilation.,140
108,template.source = 'function(' + (settings.variable || 'obj') + '){\n' + source + '}';,140
109,,128
110,return template;,122
111,};,122
112,,103
113,return _;,113
114,})({});,91
115,,79
116,if (location.hostname === 'todomvc.com') {,79
117,"(function(i,s,o,g,r,a,m){i['GoogleAnalyticsObject']=r;i[r]=i[r]||function(){",82
118,"(i[r].q=i[r].q||[]).push(arguments)},i[r].l=1*new Date();a=s.createElement(o),",72
119,"m=s.getElementsByTagName(o)[0];a.async=1;a.src=g;m.parentNode.insertBefore(a,m)",72
120,"})(window,document,'script','https://www.google-analytics.com/analytics.js','ga');",71
121,"ga('create', 'UA-31081062-1', 'auto');",72
122,"ga('send', 'pageview');",72
123,},72
124,/* jshint ignore:end */,72
125,,72
126,function redirect() {,73
127,if (location.hostname === 'tastejs.github.io') {,70
128,"location.href = location.href.replace('tastejs.github.io/todomvc', 'todomvc.com');",70
129,},70
130,},70
131,,66
132,function findRoot() {,67
133,var base = location.href.indexOf('examples/');,67
134,"return location.href.substr(0, base);",67
135,},67
136,,66
137,"function getFile(file, callback) {",9
138,if (!location.host) {,12
139,return console.info('Miss the info bar? Run TodoMVC from a server to avoid a cross-origin error.');,12
140,},12
141,,12
142,var xhr = new XMLHttpRequest();,9
143,,10
144,"xhr.open('GET', findRoot() + file, true);",10
145,xhr.send();,10
146,,10
147,xhr.onload = function () {,10
148,if (xhr.status === 200 && callback) {,9
149,callback(xhr.responseText);,9
150,},12
151,};,12
152,},14
153,,13
154,"function Learn(learnJSON, config) {",13
155,if (!(this instanceof Learn)) {,10
156,"return new Learn(learnJSON, config);",10
157,},10
158,,7
159,"var template, framework;",7
160,,7
161,if (typeof learnJSON !== 'object') {,7
162,try {,7
163,learnJSON = JSON.parse(learnJSON);,8
164,} catch (e) {,9
165,return;,12
166,},12
167,},12
168,,9
169,if (config) {,8
170,template = config.template;,8
171,framework = config.framework;,8
172,},7
173,,7
174,if (!template && learnJSON.templates) {,6
175,template = learnJSON.templates.todomvc;,14
176,},14
177,,15
178,if (!framework && document.querySelector('[data-framework]')) {,18
179,framework = document.querySelector('[data-framework]').dataset.framework;,18
180,},18
181,,23
182,this.template = template;,26
183,,26
184,if (learnJSON.backend) {,29
185,this.frameworkJSON = learnJSON.backend;,35
186,this.frameworkJSON.issueLabel = framework;,34
187,this.append({,34
188,backend: true,34
189,});,34
190,} else if (learnJSON[framework]) {,37
191,this.frameworkJSON = learnJSON[framework];,36
192,this.frameworkJSON.issueLabel = framework;,36
193,this.append();,36
194,},38
195,,37
196,this.fetchIssueCount();,37
197,},37
198,,41
199,Learn.prototype.append = function (opts) {,43
200,var aside = document.createElement('aside');,43
201,"aside.innerHTML = _.template(this.template, this.frameworkJSON);",43
202,aside.className = 'learn';,43
203,,43
204,if (opts && opts.backend) {,43
205,// Remove demo link,43
206,var sourceLinks = aside.querySelector('.source-links');,42
207,var heading = sourceLinks.firstElementChild;,42
208,var sourceLink = sourceLinks.lastElementChild;,42
209,// Correct link path,42
210,var href = sourceLink.getAttribute('href');,14
211,"sourceLink.setAttribute('href', href.substr(href.lastIndexOf('http')));",6
212,sourceLinks.innerHTML = heading.outerHTML + sourceLink.outerHTML;,6
213,} else {,6
214,// Localize demo links,17
215,var demoLinks = aside.querySelectorAll('.demo-link');,17
216,"Array.prototype.forEach.call(demoLinks, function (demoLink) {",27
217,"if (demoLink.getAttribute('href').substr(0, 4) !== 'http') {",26
218,"demoLink.setAttribute('href', findRoot() + demoLink.getAttribute('href'));",26
219,},26
220,});,26
221,},26
222,,26
223,document.body.className = (document.body.className + ' learn-bar').trim();,26
224,"document.body.insertAdjacentHTML('afterBegin', aside.outerHTML);",26
225,};,26
226,,15
227,Learn.prototype.fetchIssueCount = function () {,4
228,var issueLink = document.getElementById('issue-count-link');,4
229,if (issueLink) {,4
230,"var url = issueLink.href.replace('https://github.com', 'https://api.github.com/repos');",4
231,var xhr = new XMLHttpRequest();,4
232,"xhr.open('GET', url, true);",15
233,xhr.onload = function (e) {,15
234,var parsedResponse = JSON.parse(e.target.responseText);,15
235,if (parsedResponse instanceof Array) {,15
236,var count = parsedResponse.length;,15
237,if (count !== 0) {,15
238,issueLink.innerHTML = 'This app has ' + count + ' open issues';,15
239,document.getElementById('issue-count').style.display = 'inline';,15
240,},15
241,},30
242,};,19
243,xhr.send();,15
244,},15
245,};,15
246,,4
247,redirect();,4
248,"getFile('learn.json', Learn);",4
249,})();,4
250,,4
251,"// Store a reference to the active route, allowing us to re-filter todo",3
252,// items as they are marked complete or incomplete.,3
253,this._activeRoute = currentPage;,3
254,,3
255,"if (currentPage === """")",3
256,"this._activeRoute = ""All"";",3
257,,3
258,this._filter();,3
259,,3
260,"this.view.render(""setFilter"", currentPage);",3
261,};,3
262,,2
263,// Export to window,2
264,window.app = window.app || {};,2
265,window.app.Controller = Controller;,2
266,})(window);,2
267,,1
