Line,Code,Execution Count
1,/* global _ */,10
2,(function () {,15
3,'use strict';,16
4,,16
5,/* jshint ignore:start */,16
6,// Underscore's Template Module,35
7,// Courtesy of underscorejs.org,51
8,var _ = (function (_) {,36
9,_.defaults = function (object) {,41
10,if (!object) {,43
11,return object;,44
12,},20
13,"for (var argsIndex = 1, argsLength = arguments.length; argsIndex < argsLength; argsIndex++) {",19
14,var iterable = arguments[argsIndex];,30
15,if (iterable) {,31
16,for (var key in iterable) {,35
17,if (object[key] == null) {,24
18,object[key] = iterable[key];,23
19,},20
20,},33
21,},60
22,},60
23,return object;,56
24,};,53
25,,53
26,"// By default, Underscore uses ERB-style template delimiters, change the",51
27,// following template settings to use alternative delimiters.,57
28,_.templateSettings = {,48
29,"evaluate    : /<%([\s\S]+?)%>/g,",27
30,"interpolate : /<%=([\s\S]+?)%>/g,",27
31,escape      : /<%-([\s\S]+?)%>/g,28
32,};,23
33,,23
34,"// When customizing `templateSettings`, if you don't want to define an",23
35,"// interpolation, evaluation or escaping regex, we need one that is",17
36,// guaranteed not to match.,17
37,var noMatch = /(.)^/;,17
38,,30
39,// Certain characters need to be escaped so that they can be put into a,30
40,// string literal.,29
41,var escapes = {,29
42,"""'"":      ""'"",",25
43,"'\\':     '\\',",35
44,"'\r':     'r',",29
45,"'\n':     'n',",32
46,"'\t':     't',",32
47,"'\u2028': 'u2028',",26
48,'\u2029': 'u2029',25
49,};,29
50,,25
51,var escaper = /\\|'|\r|\n|\t|\u2028|\u2029/g;,29
52,,28
53,"// JavaScript micro-templating, similar to John Resig's implementation.",36
54,"// Underscore templating handles arbitrary delimiters, preserves whitespace,",40
55,// and correctly escapes quotes within interpolated code.,36
56,"_.template = function(text, data, settings) {",42
57,var render;,39
58,"settings = _.defaults({}, settings, _.templateSettings);",43
59,,42
60,// Combine delimiters into one regular expression via alternation.,42
61,var matcher = new RegExp([,23
62,"(settings.escape || noMatch).source,",29
63,"(settings.interpolate || noMatch).source,",26
64,(settings.evaluate || noMatch).source,30
65,"].join('|') + '|$', 'g');",30
66,,34
67,"// Compile the template source, escaping string literals appropriately.",34
68,var index = 0;,34
69,"var source = ""__p+='"";",38
70,"text.replace(matcher, function(match, escape, interpolate, evaluate, offset) {",37
71,"source += text.slice(index, offset)",37
72,".replace(escaper, function(match) { return '\\' + escapes[match]; });",37
73,,26
74,if (escape) {,26
75,"source += ""'+\n((__t=("" + escape + ""))==null?'':_.escape(__t))+\n'"";",23
76,},26
77,if (interpolate) {,26
78,"source += ""'+\n((__t=("" + interpolate + ""))==null?'':__t)+\n'"";",26
79,},20
80,if (evaluate) {,20
81,"source += ""';\n"" + evaluate + ""\n__p+='"";",20
82,},22
83,index = offset + match.length;,22
84,return match;,22
85,});,22
86,"source += ""';\n"";",22
87,,25
88,"// If a variable is not specified, place data values in local scope.",25
89,if (!settings.variable) source = 'with(obj||{}){\n' + source + '}\n';,32
90,,39
91,"source = ""var __t,__p='',__j=Array.prototype.join,"" +",35
92,"""print=function(){__p+=__j.call(arguments,'');};\n"" +",43
93,"source + ""return __p;\n"";",43
94,,39
95,try {,42
96,"render = new Function(settings.variable || 'obj', '_', source);",38
97,} catch (e) {,65
98,e.source = source;,59
99,throw e;,59
100,},63
101,,73
102,"if (data) return render(data, _);",70
103,var template = function(data) {,70
104,"return render.call(this, data, _);",76
105,};,73
106,,74
107,// Provide the compiled function source as a convenience for precompilation.,70
108,template.source = 'function(' + (settings.variable || 'obj') + '){\n' + source + '}';,70
109,,67
110,return template;,64
111,};,64
112,,60
113,return _;,63
114,})({});,55
115,,47
116,if (location.hostname === 'todomvc.com') {,44
117,"(function(i,s,o,g,r,a,m){i['GoogleAnalyticsObject']=r;i[r]=i[r]||function(){",44
118,"(i[r].q=i[r].q||[]).push(arguments)},i[r].l=1*new Date();a=s.createElement(o),",41
119,"m=s.getElementsByTagName(o)[0];a.async=1;a.src=g;m.parentNode.insertBefore(a,m)",41
120,"})(window,document,'script','https://www.google-analytics.com/analytics.js','ga');",43
121,"ga('create', 'UA-31081062-1', 'auto');",44
122,"ga('send', 'pageview');",44
123,},44
124,/* jshint ignore:end */,41
125,,44
126,function redirect() {,45
127,if (location.hostname === 'tastejs.github.io') {,48
128,"location.href = location.href.replace('tastejs.github.io/todomvc', 'todomvc.com');",45
129,},45
130,},45
131,,44
132,function findRoot() {,42
133,var base = location.href.indexOf('examples/');,39
134,"return location.href.substr(0, base);",39
135,},39
136,,38
137,"function getFile(file, callback) {",9
138,if (!location.host) {,15
139,return console.info('Miss the info bar? Run TodoMVC from a server to avoid a cross-origin error.');,15
140,},15
141,,15
142,var xhr = new XMLHttpRequest();,9
143,,10
144,"xhr.open('GET', findRoot() + file, true);",10
145,xhr.send();,13
146,,13
147,xhr.onload = function () {,13
148,if (xhr.status === 200 && callback) {,12
149,callback(xhr.responseText);,12
150,},12
151,};,12
152,},11
153,,7
154,"function Learn(learnJSON, config) {",10
155,if (!(this instanceof Learn)) {,10
156,"return new Learn(learnJSON, config);",10
157,},10
158,,10
159,"var template, framework;",10
160,,10
161,if (typeof learnJSON !== 'object') {,7
162,try {,6
163,learnJSON = JSON.parse(learnJSON);,7
164,} catch (e) {,7
165,return;,7
166,},7
167,},7
168,,7
169,if (config) {,7
170,template = config.template;,7
171,framework = config.framework;,7
172,},7
173,,7
174,if (!template && learnJSON.templates) {,6
175,template = learnJSON.templates.todomvc;,14
176,},14
177,,15
178,if (!framework && document.querySelector('[data-framework]')) {,18
179,framework = document.querySelector('[data-framework]').dataset.framework;,18
180,},18
181,,23
182,this.template = template;,22
183,,22
184,if (learnJSON.backend) {,22
185,this.frameworkJSON = learnJSON.backend;,29
186,this.frameworkJSON.issueLabel = framework;,28
187,this.append({,28
188,backend: true,28
189,});,28
190,} else if (learnJSON[framework]) {,34
191,this.frameworkJSON = learnJSON[framework];,36
192,this.frameworkJSON.issueLabel = framework;,36
193,this.append();,36
194,},38
195,,37
196,this.fetchIssueCount();,37
197,},37
198,,41
199,Learn.prototype.append = function (opts) {,40
200,var aside = document.createElement('aside');,40
201,"aside.innerHTML = _.template(this.template, this.frameworkJSON);",40
202,aside.className = 'learn';,40
203,,40
204,if (opts && opts.backend) {,40
205,// Remove demo link,43
206,var sourceLinks = aside.querySelector('.source-links');,42
207,var heading = sourceLinks.firstElementChild;,42
208,var sourceLink = sourceLinks.lastElementChild;,42
209,// Correct link path,42
210,var href = sourceLink.getAttribute('href');,14
211,"sourceLink.setAttribute('href', href.substr(href.lastIndexOf('http')));",6
212,sourceLinks.innerHTML = heading.outerHTML + sourceLink.outerHTML;,6
213,} else {,6
214,// Localize demo links,10
215,var demoLinks = aside.querySelectorAll('.demo-link');,10
216,"Array.prototype.forEach.call(demoLinks, function (demoLink) {",13
217,"if (demoLink.getAttribute('href').substr(0, 4) !== 'http') {",12
218,"demoLink.setAttribute('href', findRoot() + demoLink.getAttribute('href'));",12
219,},12
220,});,12
221,},12
222,,12
223,document.body.className = (document.body.className + ' learn-bar').trim();,12
224,"document.body.insertAdjacentHTML('afterBegin', aside.outerHTML);",12
225,};,12
226,,8
227,Learn.prototype.fetchIssueCount = function () {,4
228,var issueLink = document.getElementById('issue-count-link');,4
229,if (issueLink) {,4
230,"var url = issueLink.href.replace('https://github.com', 'https://api.github.com/repos');",4
231,var xhr = new XMLHttpRequest();,4
232,"xhr.open('GET', url, true);",8
233,xhr.onload = function (e) {,8
234,var parsedResponse = JSON.parse(e.target.responseText);,8
235,if (parsedResponse instanceof Array) {,8
236,var count = parsedResponse.length;,8
237,if (count !== 0) {,8
238,issueLink.innerHTML = 'This app has ' + count + ' open issues';,8
239,document.getElementById('issue-count').style.display = 'inline';,8
240,},8
241,},9
242,};,8
243,xhr.send();,8
244,},8
245,};,8
246,,4
247,redirect();,4
248,"getFile('learn.json', Learn);",4
249,})();,4
250,,4
251,"// Store a reference to the active route, allowing us to re-filter todo",3
252,// items as they are marked complete or incomplete.,3
253,this._activeRoute = currentPage;,3
254,,3
255,"if (currentPage === """")",3
256,"this._activeRoute = ""All"";",3
257,,3
258,this._filter();,3
259,,3
260,"this.view.render(""setFilter"", currentPage);",3
261,};,3
262,,2
263,// Export to window,2
264,window.app = window.app || {};,2
265,window.app.Controller = Controller;,2
266,})(window);,2
267,,1
