Line,Code,Execution Count
1,/* global _ */,10
2,(function () {,15
3,'use strict';,16
4,,16
5,/* jshint ignore:start */,16
6,// Underscore's Template Module,29
7,// Courtesy of underscorejs.org,41
8,var _ = (function (_) {,30
9,_.defaults = function (object) {,25
10,if (!object) {,27
11,return object;,28
12,},20
13,"for (var argsIndex = 1, argsLength = arguments.length; argsIndex < argsLength; argsIndex++) {",19
14,var iterable = arguments[argsIndex];,30
15,if (iterable) {,31
16,for (var key in iterable) {,33
17,if (object[key] == null) {,22
18,object[key] = iterable[key];,21
19,},20
20,},29
21,},37
22,},37
23,return object;,35
24,};,34
25,,34
26,"// By default, Underscore uses ERB-style template delimiters, change the",32
27,// following template settings to use alternative delimiters.,35
28,_.templateSettings = {,33
29,"evaluate    : /<%([\s\S]+?)%>/g,",26
30,"interpolate : /<%=([\s\S]+?)%>/g,",26
31,escape      : /<%-([\s\S]+?)%>/g,28
32,};,23
33,,23
34,"// When customizing `templateSettings`, if you don't want to define an",23
35,"// interpolation, evaluation or escaping regex, we need one that is",17
36,// guaranteed not to match.,17
37,var noMatch = /(.)^/;,17
38,,22
39,// Certain characters need to be escaped so that they can be put into a,22
40,// string literal.,21
41,var escapes = {,21
42,"""'"":      ""'"",",19
43,"'\\':     '\\',",23
44,"'\r':     'r',",21
45,"'\n':     'n',",23
46,"'\t':     't',",23
47,"'\u2028': 'u2028',",22
48,'\u2029': 'u2029',21
49,};,23
50,,21
51,var escaper = /\\|'|\r|\n|\t|\u2028|\u2029/g;,23
52,,22
53,"// JavaScript micro-templating, similar to John Resig's implementation.",23
54,"// Underscore templating handles arbitrary delimiters, preserves whitespace,",24
55,// and correctly escapes quotes within interpolated code.,24
56,"_.template = function(text, data, settings) {",24
57,var render;,24
58,"settings = _.defaults({}, settings, _.templateSettings);",26
59,,25
60,// Combine delimiters into one regular expression via alternation.,24
61,var matcher = new RegExp([,18
62,"(settings.escape || noMatch).source,",19
63,"(settings.interpolate || noMatch).source,",17
64,(settings.evaluate || noMatch).source,19
65,"].join('|') + '|$', 'g');",19
66,,21
67,"// Compile the template source, escaping string literals appropriately.",21
68,var index = 0;,21
69,"var source = ""__p+='"";",23
70,"text.replace(matcher, function(match, escape, interpolate, evaluate, offset) {",21
71,"source += text.slice(index, offset)",21
72,".replace(escaper, function(match) { return '\\' + escapes[match]; });",21
73,,17
74,if (escape) {,17
75,"source += ""'+\n((__t=("" + escape + ""))==null?'':_.escape(__t))+\n'"";",16
76,},17
77,if (interpolate) {,17
78,"source += ""'+\n((__t=("" + interpolate + ""))==null?'':__t)+\n'"";",17
79,},16
80,if (evaluate) {,16
81,"source += ""';\n"" + evaluate + ""\n__p+='"";",16
82,},15
83,index = offset + match.length;,15
84,return match;,15
85,});,15
86,"source += ""';\n"";",15
87,,16
88,"// If a variable is not specified, place data values in local scope.",16
89,if (!settings.variable) source = 'with(obj||{}){\n' + source + '}\n';,18
90,,19
91,"source = ""var __t,__p='',__j=Array.prototype.join,"" +",16
92,"""print=function(){__p+=__j.call(arguments,'');};\n"" +",20
93,"source + ""return __p;\n"";",20
94,,18
95,try {,19
96,"render = new Function(settings.variable || 'obj', '_', source);",17
97,} catch (e) {,31
98,e.source = source;,31
99,throw e;,31
100,},33
101,,36
102,"if (data) return render(data, _);",36
103,var template = function(data) {,36
104,"return render.call(this, data, _);",37
105,};,36
106,,37
107,// Provide the compiled function source as a convenience for precompilation.,35
108,template.source = 'function(' + (settings.variable || 'obj') + '){\n' + source + '}';,35
109,,35
110,return template;,35
111,};,35
112,,34
113,return _;,35
114,})({});,31
115,,27
116,if (location.hostname === 'todomvc.com') {,26
117,"(function(i,s,o,g,r,a,m){i['GoogleAnalyticsObject']=r;i[r]=i[r]||function(){",26
118,"(i[r].q=i[r].q||[]).push(arguments)},i[r].l=1*new Date();a=s.createElement(o),",25
119,"m=s.getElementsByTagName(o)[0];a.async=1;a.src=g;m.parentNode.insertBefore(a,m)",25
120,"})(window,document,'script','https://www.google-analytics.com/analytics.js','ga');",24
121,"ga('create', 'UA-31081062-1', 'auto');",23
122,"ga('send', 'pageview');",23
123,},23
124,/* jshint ignore:end */,22
125,,22
126,function redirect() {,23
127,if (location.hostname === 'tastejs.github.io') {,24
128,"location.href = location.href.replace('tastejs.github.io/todomvc', 'todomvc.com');",24
129,},24
130,},24
131,,23
132,function findRoot() {,24
133,var base = location.href.indexOf('examples/');,23
134,"return location.href.substr(0, base);",23
135,},23
136,,23
137,"function getFile(file, callback) {",10
138,if (!location.host) {,13
139,return console.info('Miss the info bar? Run TodoMVC from a server to avoid a cross-origin error.');,13
140,},13
141,,12
142,var xhr = new XMLHttpRequest();,9
143,,10
144,"xhr.open('GET', findRoot() + file, true);",10
145,xhr.send();,11
146,,11
147,xhr.onload = function () {,11
148,if (xhr.status === 200 && callback) {,10
149,callback(xhr.responseText);,10
150,},10
151,};,10
152,},9
153,,7
154,"function Learn(learnJSON, config) {",7
155,if (!(this instanceof Learn)) {,7
156,"return new Learn(learnJSON, config);",7
157,},7
158,,7
159,"var template, framework;",7
160,,7
161,if (typeof learnJSON !== 'object') {,7
162,try {,6
163,learnJSON = JSON.parse(learnJSON);,7
164,} catch (e) {,7
165,return;,8
166,},8
167,},8
168,,8
169,if (config) {,8
170,template = config.template;,8
171,framework = config.framework;,8
172,},8
173,,7
174,if (!template && learnJSON.templates) {,6
175,template = learnJSON.templates.todomvc;,14
176,},14
177,,15
178,if (!framework && document.querySelector('[data-framework]')) {,16
179,framework = document.querySelector('[data-framework]').dataset.framework;,16
180,},16
181,,23
182,this.template = template;,22
183,,22
184,if (learnJSON.backend) {,22
185,this.frameworkJSON = learnJSON.backend;,29
186,this.frameworkJSON.issueLabel = framework;,28
187,this.append({,28
188,backend: true,28
189,});,28
190,} else if (learnJSON[framework]) {,34
191,this.frameworkJSON = learnJSON[framework];,34
192,this.frameworkJSON.issueLabel = framework;,34
193,this.append();,34
194,},38
195,,37
196,this.fetchIssueCount();,37
197,},37
198,,41
199,Learn.prototype.append = function (opts) {,40
200,var aside = document.createElement('aside');,40
201,"aside.innerHTML = _.template(this.template, this.frameworkJSON);",40
202,aside.className = 'learn';,40
203,,40
204,if (opts && opts.backend) {,40
205,// Remove demo link,43
206,var sourceLinks = aside.querySelector('.source-links');,42
207,var heading = sourceLinks.firstElementChild;,42
208,var sourceLink = sourceLinks.lastElementChild;,42
209,// Correct link path,42
210,var href = sourceLink.getAttribute('href');,14
211,"sourceLink.setAttribute('href', href.substr(href.lastIndexOf('http')));",6
212,sourceLinks.innerHTML = heading.outerHTML + sourceLink.outerHTML;,6
213,} else {,6
214,// Localize demo links,8
215,var demoLinks = aside.querySelectorAll('.demo-link');,8
216,"Array.prototype.forEach.call(demoLinks, function (demoLink) {",9
217,"if (demoLink.getAttribute('href').substr(0, 4) !== 'http') {",8
218,"demoLink.setAttribute('href', findRoot() + demoLink.getAttribute('href'));",8
219,},8
220,});,8
221,},8
222,,8
223,document.body.className = (document.body.className + ' learn-bar').trim();,8
224,"document.body.insertAdjacentHTML('afterBegin', aside.outerHTML);",8
225,};,8
226,,6
227,Learn.prototype.fetchIssueCount = function () {,4
228,var issueLink = document.getElementById('issue-count-link');,4
229,if (issueLink) {,4
230,"var url = issueLink.href.replace('https://github.com', 'https://api.github.com/repos');",4
231,var xhr = new XMLHttpRequest();,4
232,"xhr.open('GET', url, true);",6
233,xhr.onload = function (e) {,6
234,var parsedResponse = JSON.parse(e.target.responseText);,6
235,if (parsedResponse instanceof Array) {,6
236,var count = parsedResponse.length;,6
237,if (count !== 0) {,6
238,issueLink.innerHTML = 'This app has ' + count + ' open issues';,6
239,document.getElementById('issue-count').style.display = 'inline';,6
240,},6
241,},7
242,};,6
243,xhr.send();,6
244,},6
245,};,6
246,,4
247,redirect();,4
248,"getFile('learn.json', Learn);",4
249,})();,4
250,,4
251,"// Store a reference to the active route, allowing us to re-filter todo",3
252,// items as they are marked complete or incomplete.,3
253,this._activeRoute = currentPage;,3
254,,3
255,"if (currentPage === """")",3
256,"this._activeRoute = ""All"";",3
257,,3
258,this._filter();,3
259,,3
260,"this.view.render(""setFilter"", currentPage);",3
261,};,3
262,,2
263,// Export to window,2
264,window.app = window.app || {};,2
265,window.app.Controller = Controller;,2
266,})(window);,2
267,,1
