Line,Code,Execution Count
1,/* global _ */,10
2,(function () {,15
3,'use strict';,16
4,,16
5,/* jshint ignore:start */,16
6,// Underscore's Template Module,32
7,// Courtesy of underscorejs.org,46
8,var _ = (function (_) {,33
9,_.defaults = function (object) {,23
10,if (!object) {,25
11,return object;,26
12,},20
13,"for (var argsIndex = 1, argsLength = arguments.length; argsIndex < argsLength; argsIndex++) {",19
14,var iterable = arguments[argsIndex];,30
15,if (iterable) {,31
16,for (var key in iterable) {,37
17,if (object[key] == null) {,26
18,object[key] = iterable[key];,25
19,},20
20,},33
21,},57
22,},57
23,return object;,55
24,};,37
25,,37
26,"// By default, Underscore uses ERB-style template delimiters, change the",35
27,// following template settings to use alternative delimiters.,37
28,_.templateSettings = {,35
29,"evaluate    : /<%([\s\S]+?)%>/g,",29
30,"interpolate : /<%=([\s\S]+?)%>/g,",29
31,escape      : /<%-([\s\S]+?)%>/g,28
32,};,23
33,,23
34,"// When customizing `templateSettings`, if you don't want to define an",23
35,"// interpolation, evaluation or escaping regex, we need one that is",17
36,// guaranteed not to match.,19
37,var noMatch = /(.)^/;,19
38,,32
39,// Certain characters need to be escaped so that they can be put into a,30
40,// string literal.,38
41,var escapes = {,29
42,"""'"":      ""'"",",20
43,"'\\':     '\\',",24
44,"'\r':     'r',",24
45,"'\n':     'n',",25
46,"'\t':     't',",25
47,"'\u2028': 'u2028',",24
48,'\u2029': 'u2029',25
49,};,31
50,,25
51,var escaper = /\\|'|\r|\n|\t|\u2028|\u2029/g;,31
52,,30
53,"// JavaScript micro-templating, similar to John Resig's implementation.",34
54,"// Underscore templating handles arbitrary delimiters, preserves whitespace,",37
55,// and correctly escapes quotes within interpolated code.,31
56,"_.template = function(text, data, settings) {",34
57,var render;,34
58,"settings = _.defaults({}, settings, _.templateSettings);",41
59,,37
60,// Combine delimiters into one regular expression via alternation.,36
61,var matcher = new RegExp([,21
62,"(settings.escape || noMatch).source,",39
63,"(settings.interpolate || noMatch).source,",38
64,(settings.evaluate || noMatch).source,44
65,"].join('|') + '|$', 'g');",44
66,,50
67,"// Compile the template source, escaping string literals appropriately.",50
68,var index = 0;,50
69,"var source = ""__p+='"";",59
70,"text.replace(matcher, function(match, escape, interpolate, evaluate, offset) {",55
71,"source += text.slice(index, offset)",55
72,".replace(escaper, function(match) { return '\\' + escapes[match]; });",55
73,,38
74,if (escape) {,39
75,"source += ""'+\n((__t=("" + escape + ""))==null?'':_.escape(__t))+\n'"";",39
76,},40
77,if (interpolate) {,40
78,"source += ""'+\n((__t=("" + interpolate + ""))==null?'':__t)+\n'"";",40
79,},21
80,if (evaluate) {,20
81,"source += ""';\n"" + evaluate + ""\n__p+='"";",20
82,},20
83,index = offset + match.length;,20
84,return match;,20
85,});,20
86,"source += ""';\n"";",20
87,,20
88,"// If a variable is not specified, place data values in local scope.",20
89,if (!settings.variable) source = 'with(obj||{}){\n' + source + '}\n';,31
90,,49
91,"source = ""var __t,__p='',__j=Array.prototype.join,"" +",42
92,"""print=function(){__p+=__j.call(arguments,'');};\n"" +",58
93,"source + ""return __p;\n"";",58
94,,49
95,try {,54
96,"render = new Function(settings.variable || 'obj', '_', source);",47
97,} catch (e) {,97
98,e.source = source;,88
99,throw e;,88
100,},95
101,,114
102,"if (data) return render(data, _);",112
103,var template = function(data) {,123
104,"return render.call(this, data, _);",150
105,};,145
106,,173
107,// Provide the compiled function source as a convenience for precompilation.,159
108,template.source = 'function(' + (settings.variable || 'obj') + '){\n' + source + '}';,159
109,,129
110,return template;,122
111,};,122
112,,91
113,return _;,99
114,})({});,81
115,,71
116,if (location.hostname === 'todomvc.com') {,71
117,"(function(i,s,o,g,r,a,m){i['GoogleAnalyticsObject']=r;i[r]=i[r]||function(){",71
118,"(i[r].q=i[r].q||[]).push(arguments)},i[r].l=1*new Date();a=s.createElement(o),",64
119,"m=s.getElementsByTagName(o)[0];a.async=1;a.src=g;m.parentNode.insertBefore(a,m)",64
120,"})(window,document,'script','https://www.google-analytics.com/analytics.js','ga');",63
121,"ga('create', 'UA-31081062-1', 'auto');",65
122,"ga('send', 'pageview');",65
123,},65
124,/* jshint ignore:end */,62
125,,62
126,function redirect() {,63
127,if (location.hostname === 'tastejs.github.io') {,61
128,"location.href = location.href.replace('tastejs.github.io/todomvc', 'todomvc.com');",61
129,},61
130,},61
131,,60
132,function findRoot() {,61
133,var base = location.href.indexOf('examples/');,61
134,"return location.href.substr(0, base);",61
135,},61
136,,60
137,"function getFile(file, callback) {",9
138,if (!location.host) {,11
139,return console.info('Miss the info bar? Run TodoMVC from a server to avoid a cross-origin error.');,11
140,},11
141,,11
142,var xhr = new XMLHttpRequest();,9
143,,10
144,"xhr.open('GET', findRoot() + file, true);",10
145,xhr.send();,10
146,,10
147,xhr.onload = function () {,10
148,if (xhr.status === 200 && callback) {,9
149,callback(xhr.responseText);,9
150,},9
151,};,9
152,},8
153,,7
154,"function Learn(learnJSON, config) {",7
155,if (!(this instanceof Learn)) {,7
156,"return new Learn(learnJSON, config);",7
157,},7
158,,7
159,"var template, framework;",7
160,,7
161,if (typeof learnJSON !== 'object') {,7
162,try {,6
163,learnJSON = JSON.parse(learnJSON);,7
164,} catch (e) {,7
165,return;,7
166,},7
167,},7
168,,7
169,if (config) {,7
170,template = config.template;,7
171,framework = config.framework;,7
172,},7
173,,7
174,if (!template && learnJSON.templates) {,6
175,template = learnJSON.templates.todomvc;,14
176,},14
177,,15
178,if (!framework && document.querySelector('[data-framework]')) {,20
179,framework = document.querySelector('[data-framework]').dataset.framework;,20
180,},20
181,,23
182,this.template = template;,24
183,,24
184,if (learnJSON.backend) {,26
185,this.frameworkJSON = learnJSON.backend;,33
186,this.frameworkJSON.issueLabel = framework;,32
187,this.append({,32
188,backend: true,32
189,});,32
190,} else if (learnJSON[framework]) {,36
191,this.frameworkJSON = learnJSON[framework];,35
192,this.frameworkJSON.issueLabel = framework;,35
193,this.append();,35
194,},38
195,,37
196,this.fetchIssueCount();,37
197,},37
198,,41
199,Learn.prototype.append = function (opts) {,42
200,var aside = document.createElement('aside');,42
201,"aside.innerHTML = _.template(this.template, this.frameworkJSON);",42
202,aside.className = 'learn';,42
203,,42
204,if (opts && opts.backend) {,42
205,// Remove demo link,43
206,var sourceLinks = aside.querySelector('.source-links');,42
207,var heading = sourceLinks.firstElementChild;,42
208,var sourceLink = sourceLinks.lastElementChild;,42
209,// Correct link path,42
210,var href = sourceLink.getAttribute('href');,14
211,"sourceLink.setAttribute('href', href.substr(href.lastIndexOf('http')));",6
212,sourceLinks.innerHTML = heading.outerHTML + sourceLink.outerHTML;,6
213,} else {,6
214,// Localize demo links,15
215,var demoLinks = aside.querySelectorAll('.demo-link');,15
216,"Array.prototype.forEach.call(demoLinks, function (demoLink) {",23
217,"if (demoLink.getAttribute('href').substr(0, 4) !== 'http') {",22
218,"demoLink.setAttribute('href', findRoot() + demoLink.getAttribute('href'));",22
219,},22
220,});,22
221,},22
222,,22
223,document.body.className = (document.body.className + ' learn-bar').trim();,22
224,"document.body.insertAdjacentHTML('afterBegin', aside.outerHTML);",22
225,};,22
226,,13
227,Learn.prototype.fetchIssueCount = function () {,4
228,var issueLink = document.getElementById('issue-count-link');,4
229,if (issueLink) {,4
230,"var url = issueLink.href.replace('https://github.com', 'https://api.github.com/repos');",4
231,var xhr = new XMLHttpRequest();,4
232,"xhr.open('GET', url, true);",13
233,xhr.onload = function (e) {,13
234,var parsedResponse = JSON.parse(e.target.responseText);,13
235,if (parsedResponse instanceof Array) {,13
236,var count = parsedResponse.length;,13
237,if (count !== 0) {,13
238,issueLink.innerHTML = 'This app has ' + count + ' open issues';,13
239,document.getElementById('issue-count').style.display = 'inline';,13
240,},13
241,},20
242,};,20
243,xhr.send();,13
244,},13
245,};,13
246,,4
247,redirect();,4
248,"getFile('learn.json', Learn);",4
249,})();,4
250,,5
251,"// Store a reference to the active route, allowing us to re-filter todo",4
252,// items as they are marked complete or incomplete.,4
253,this._activeRoute = currentPage;,4
254,,4
255,"if (currentPage === """")",4
256,"this._activeRoute = ""All"";",5
257,,4
258,this._filter();,4
259,,4
260,"this.view.render(""setFilter"", currentPage);",4
261,};,4
262,,2
263,// Export to window,2
264,window.app = window.app || {};,2
265,window.app.Controller = Controller;,2
266,})(window);,2
267,,1
